Month,GSO_LF,GSO_UR,CLT_LF,CLT_UR,RDU_LF,RDU_UR,Harrisburg_LF,Harrisburg_UR,USA_LF,USA_UR
2006-01,360198,4.7,1014866,4.9,245718,3.8,276661,4.1,150214,4.7
2006-02,362938,5,1021495,5.2,247942,4.1,276445,4.1,150641,4.8
2006-03,364353,4.5,1027071,4.7,249102,3.7,278255,3.8,150813,4.7
2006-04,366655,4.5,1032285,4.7,248950,3.7,278101,3.5,150881,4.7
2006-05,370078,4.7,1040587,4.9,251530,3.9,281095,3.8,151069,4.6
2006-06,370414,5.1,1042765,5.3,254221,4.2,284704,4,151354,4.6
2006-07,373952,5.4,1049796,5.4,257485,4.4,287259,4,151377,4.7
2006-08,372268,5.1,1054405,5.2,256076,4.2,287051,3.9,151716,4.7
2006-09,369509,4.7,1056308,4.8,255396,3.8,282479,3.4,151662,4.5
2006-10,373487,4.4,1065042,4.6,256627,3.7,281671,3.2,152041,4.4
2006-11,373985,4.8,1068547,4.9,258002,3.9,282554,3.5,152406,4.5
2006-12,372043,4.5,1061527,4.6,257527,3.6,282346,3.2,152732,4.4
2007-01,365442,5.2,1056454,5.1,252685,4.1,280990,4.1,153144,4.6
2007-02,365760,5.2,1057116,4.9,253936,4,279388,3.9,152983,4.5
2007-03,366472,4.6,1062016,4.5,254765,3.6,280600,3.7,153051,4.4
2007-04,365491,4.6,1060630,4.8,253498,3.7,279468,3.2,152435,4.5
2007-05,366008,4.7,1067236,5,254149,3.7,282881,3.4,152670,4.4
2007-06,367395,5.1,1069716,5.2,257355,4.2,287631,3.8,153041,4.6
2007-07,369965,5.3,1072562,5.5,260048,4.2,290210,3.9,153054,4.7
2007-08,364859,4.9,1069506,5.2,257040,3.9,287895,3.8,152749,4.6
2007-09,364745,4.6,1073421,4.9,258037,3.7,284202,3.4,153414,4.7
2007-10,366407,4.6,1079097,4.9,255557,3.7,282542,3.4,153183,4.7
2007-11,366651,4.8,1081531,5,257072,3.7,283650,3.5,153835,4.7
2007-12,363964,4.9,1074779,5.2,255684,3.8,283388,3.7,153918,5
2008-01,368177,5.3,1074179,5.6,259241,4.1,283627,4.3,154063,5
2008-02,367242,5.3,1074440,5.4,259506,4.1,282719,4.3,153653,4.9
2008-03,368075,5.2,1079553,5.3,260914,4,284497,4.2,153908,5.1
2008-04,368657,5,1081113,5.1,262185,3.8,285724,3.7,153769,5
2008-05,369110,5.7,1087756,5.8,263070,4.5,289122,4.2,154303,5.4
2008-06,369072,6.1,1089086,6.3,265048,4.9,293496,4.6,154313,5.6
2008-07,373056,6.5,1089156,6.7,268202,5.2,297010,4.8,154469,5.8
2008-08,369773,6.5,1089587,6.9,264968,5,295168,4.8,154641,6.1
2008-09,369176,6,1089327,6.5,265074,4.6,290214,4.4,154570,6.1
2008-10,372407,6.1,1096947,6.7,264619,4.5,289282,4.7,154876,6.5
2008-11,375507,8,1101546,8.3,267142,5.8,288422,4.9,154639,6.8
2008-12,371189,8.9,1101728,9.3,265941,6.2,287816,5.4,154655,7.3
2009-01,370476,10.3,1096566,10.9,266928,7.3,286459,6.7,154210,7.8
2009-02,370707,10.8,1099609,11.5,267754,7.7,286713,7.2,154538,8.3
2009-03,367888,10.8,1097835,11.6,267323,7.3,286194,7.1,154133,8.7
2009-04,368604,10.4,1096839,11.4,268079,7.1,286363,6.5,154509,9
2009-05,367480,11.1,1095986,11.8,268479,7.7,289037,7,154747,9.4
2009-06,368664,11.4,1097139,12.4,270105,8.1,292017,7.4,154716,9.5
2009-07,371504,11.4,1095478,12.4,270844,8.1,294144,7.6,154502,9.5
2009-08,367853,11.3,1092734,12.1,267435,7.9,290489,7.5,154307,9.6
2009-09,366105,10.8,1086940,12,266581,7.7,284146,7.1,153827,9.8
2009-10,366660,11.1,1088771,12.2,264809,7.7,282180,7.1,153784,10
2009-11,365952,11,1086343,12.1,265244,7.7,282147,7,153878,9.9
2009-12,362647,11.4,1079261,12.4,262860,7.8,280528,7.2,153111,9.9
2010-01,362291,12.7,1125117,12.9,258062,8.9,287096,8.3,153484,9.8
2010-02,363539,12.6,1130352,12.8,259566,8.8,285954,8.3,153694,9.8
2010-03,365804,12.2,1140107,12.5,261018,8.5,287477,8,153954,9.9
2010-04,368494,11.6,1150530,11.9,265039,8.1,290238,7.3,154622,9.9
2010-05,367921,11.7,1152501,11.8,264577,8.2,292121,7.6,154091,9.6
2010-06,367051,11.7,1142787,11.8,263811,8.4,293403,7.7,153616,9.4
2010-07,369853,11.6,1139215,11.8,267386,8.3,297050,7.8,153691,9.4
2010-08,365989,11.2,1142769,11.5,264043,8.1,294789,7.5,154086,9.5
2010-09,364204,10.6,1137510,10.9,262902,7.6,289014,6.9,153975,9.5
2010-10,364950,10.5,1140103,10.7,261929,7.5,287707,6.9,153635,9.4
2010-11,364254,11.1,1145531,11.2,262898,7.8,287721,7,154125,9.8
2010-12,362309,10.9,1140993,11,261055,7.6,287265,6.7,153650,9.3
2011-01,362557,11.4,1140797,11.5,261702,8.1,286870,7.5,153263,9.1
2011-02,362922,11,1143600,11.1,262125,8,286065,7.3,153214,9
2011-03,364447,10.6,1149706,10.6,263066,7.7,287292,7,153376,9
2011-04,365090,10.3,1150753,10.4,265500,7.5,288061,6.4,153543,9.1
2011-05,366116,10.6,1154418,10.6,265218,7.8,290674,6.8,153479,9
2011-06,365296,11.4,1153216,11.2,264839,8.5,294213,7.5,153346,9.1
2011-07,367139,11.3,1151462,11.1,265683,8.4,296126,7.5,153288,9
